path,folder_path,size_gb,parsed_title,parsed_year,imdb_id,title,year,imdb_rating,imdb_votes,genre,runtime,verdict,reason
\\TOWER\rootshare\Movies\The Terminator (1984)\The Terminator (1984) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\The Terminator (1984),8.72,The Terminator,1984,tt0088247,The Terminator,1984,8.1,990690,"Action, Adventure, Sci-Fi",107,KEEP,ok
\\TOWER\rootshare\Movies\The Town (2010)\The Town (2010) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Town (2010),5.55,The Town,2010,tt0840361,The Town,2010,7.5,442359,"Crime, Drama, Thriller",125,KEEP,ok
\\TOWER\rootshare\Movies\The Toxic Avenger Unrated (2025)\The Toxic Avenger Unrated (2025) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\The Toxic Avenger Unrated (2025),3.87,The Toxic Avenger,2025,,,,,,,,REMOVE,not found
\\TOWER\rootshare\Movies\The Truman Show (1998)\The Truman Show (1998) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\The Truman Show (1998),3.02,The Truman Show,1998,tt0120382,The Truman Show,1998,8.2,1339282,"Comedy, Drama",103,KEEP,ok
\\TOWER\rootshare\Movies\The Two Popes (2019)\The Two Popes (2019) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\The Two Popes (2019),4.58,The Two Popes,2019,tt8404614,The Two Popes,2019,7.6,145187,"Biography, Drama",125,KEEP,ok
\\TOWER\rootshare\Movies\The Usual Suspects (1995)\The Usual Suspects (1995) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\The Usual Suspects (1995),2.15,The Usual Suspects,1995,tt0114814,The Usual Suspects,1995,8.5,1221679,"Crime, Drama, Mystery",106,KEEP,ok
\\TOWER\rootshare\Movies\The Velvet Underground (2021)\The Velvet Underground (2021) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\The Velvet Underground (2021),5.99,The Velvet Underground,2021,tt7230750,The Velvet Underground,2021,7.3,5909,"Documentary, Music",121,KEEP,ok
\\TOWER\rootshare\Movies\The Wild Robot (2024)\The Wild Robot (2024) WEBRip-1080p.mkv,\\TOWER\rootshare\Movies\The Wild Robot (2024),2.61,The Wild Robot,2024,tt29623480,The Wild Robot,2024,8.2,213032,"Animation, Adventure, Family",102,KEEP,ok
\\TOWER\rootshare\Movies\The Wind Rises (2013)\The Wind Rises (2013) Bluray-720p.mkv,\\TOWER\rootshare\Movies\The Wind Rises (2013),2.5,The Wind Rises,2013,tt2013293,The Wind Rises,2013,7.8,110521,"Animation, Biography, Drama",126,KEEP,ok
\\TOWER\rootshare\Movies\The Wolf of Wall Street (2013)\The Wolf of Wall Street (2013) Bluray-1080p.mp4,\\TOWER\rootshare\Movies\The Wolf of Wall Street (2013),3.33,The Wolf of Wall Street,2013,tt0993846,The Wolf of Wall Street,2013,8.2,1759293,"Biography, Comedy, Crime",180,KEEP,ok
\\TOWER\rootshare\Movies\The Wrecking Crew (2026)\The Wrecking Crew (2026) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\The Wrecking Crew (2026),4.55,The Wrecking Crew,2026,tt33046197,The Wrecking Crew,2026,6.5,14390,"Action, Comedy, Crime",124,REMOVE,rating 6.5 < 7.0
\\TOWER\rootshare\Movies\There Will Be Blood (2007)\There Will Be Blood (2007) Bluray-720p Proper.mkv,\\TOWER\rootshare\Movies\There Will Be Blood (2007),6.55,There Will Be Blood,2007,tt0469494,There Will Be Blood,2007,8.2,700517,Drama,158,KEEP,ok
\\TOWER\rootshare\Movies\They Shall Not Grow Old (2018)\They Shall Not Grow Old (2018) Bluray-720p.mkv,\\TOWER\rootshare\Movies\They Shall Not Grow Old (2018),3.55,They Shall Not Grow Old,2018,tt7905466,They Shall Not Grow Old,2018,8.2,40119,"Documentary, History, War",99,KEEP,ok
\\TOWER\rootshare\Movies\Thirteen Lives (2022)\Thirteen Lives (2022) WEBDL-720p.mkv,\\TOWER\rootshare\Movies\Thirteen Lives (2022),2.2,Thirteen Lives,2022,tt12262116,Thirteen Lives,2022,7.8,77224,"Biography, Drama, Thriller",147,KEEP,ok
\\TOWER\rootshare\Movies\This Is Spinal Tap (1984)\This Is Spinal Tap (1984) Remux-1080p.mkv,\\TOWER\rootshare\Movies\This Is Spinal Tap (1984),10.51,This Is Spinal Tap,1984,tt0088258,This Is Spinal Tap,1984,7.9,153607,"Comedy, Music",82,KEEP,ok
\\TOWER\rootshare\Movies\Threads (1984)\Threads (1984) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Threads (1984),5.86,Threads,1984,tt0090163,Threads,1984,7.9,25540,"Drama, Sci-Fi, Thriller",112,KEEP,ok
\\TOWER\rootshare\Movies\Tinker Tailor Soldier Spy (2011)\Tinker Tailor Soldier Spy (2011) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Tinker Tailor Soldier Spy (2011),4.14,Tinker Tailor Soldier Spy,2011,tt1340800,Tinker Tailor Soldier Spy,2011,7.0,225310,"Drama, Mystery, Thriller",127,KEEP,ok
\\TOWER\rootshare\Movies\Titanic (1997)\Titanic (1997) Bluray-720p Proper.mkv,\\TOWER\rootshare\Movies\Titanic (1997),4.27,Titanic,1997,tt0120338,Titanic,1997,8.0,1378313,"Drama, Romance",194,KEEP,ok
\\TOWER\rootshare\Movies\Too Big to Fail (2011)\Too Big to Fail (2011) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Too Big to Fail (2011),4.63,Too Big to Fail,2011,tt1742683,Too Big to Fail,2011,7.2,20879,"Biography, Drama",99,KEEP,ok
\\TOWER\rootshare\Movies\Top Gun (1986)\Top Gun (1986) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\Top Gun (1986),5.77,Top Gun,1986,tt0092099,Top Gun,1986,7.0,544151,"Action, Drama",110,KEEP,ok
\\TOWER\rootshare\Movies\Top Gun Maverick (2022)\Top Gun Maverick (2022) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\Top Gun Maverick (2022),4.81,Top Gun Maverick,2022,tt1745960,Top Gun: Maverick,2022,8.2,836462,"Action, Drama",130,KEEP,ok
\\TOWER\rootshare\Movies\Toy Story (1995)\Toy Story (1995) Bluray-1080p Proper.mkv,\\TOWER\rootshare\Movies\Toy Story (1995),1.26,Toy Story,1995,tt0114709,Toy Story,1995,8.3,1153271,"Animation, Adventure, Comedy",81,KEEP,ok
\\TOWER\rootshare\Movies\Toy Story 2 (1999)\Toy Story 2 (1999) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Toy Story 2 (1999),1.44,Toy Story 2,1999,tt0120363,Toy Story 2,1999,7.9,663076,"Animation, Adventure, Comedy",92,KEEP,ok
\\TOWER\rootshare\Movies\Toy Story 3 (2010)\Toy Story 3 (2010) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\Toy Story 3 (2010),5.51,Toy Story 3,2010,tt0435761,Toy Story 3,2010,8.3,961588,"Animation, Adventure, Comedy",103,KEEP,ok
\\TOWER\rootshare\Movies\True Romance (1993)\True Romance (1993) Bluray-720p.mkv,\\TOWER\rootshare\Movies\True Romance (1993),5.21,True Romance,1993,tt0108399,True Romance,1993,7.9,257087,"Crime, Drama, Romance",119,KEEP,ok
\\TOWER\rootshare\Movies\Uncle Buck (1989)\Uncle Buck (1989) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Uncle Buck (1989),3.03,Uncle Buck,1989,tt0098554,Uncle Buck,1989,7.1,119730,Comedy,100,KEEP,ok
\\TOWER\rootshare\Movies\Up (2009)\Up (2009) Bluray-1080p Proper.mkv,\\TOWER\rootshare\Movies\Up (2009),0.97,Up,2009,tt1049413,Up,2009,8.3,1204006,"Animation, Adventure, Comedy",96,KEEP,ok
\\TOWER\rootshare\Movies\Vertigo (1958)\Vertigo (1958) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Vertigo (1958),2.11,Vertigo,1958,tt0052357,Vertigo,1958,8.2,456449,"Mystery, Romance, Thriller",128,KEEP,ok
\\TOWER\rootshare\Movies\Wake Up Dead Man A Knives Out Mystery (2025)\Wake Up Dead Man A Knives Out Mystery (2025) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\Wake Up Dead Man A Knives Out Mystery (2025),4.61,Wake Up Dead Man A Knives Out Mystery,2025,,,,,,,,REMOVE,not found
\\TOWER\rootshare\Movies\WALL·E (2008)\WALL·E (2008) Bluray-1080p.mkv,\\TOWER\rootshare\Movies\WALL·E (2008),9.16,WALL·E,2008,tt0910970,WALL·E,2008,8.4,1306354,"Animation, Adventure, Family",98,KEEP,ok
\\TOWER\rootshare\Movies\War Machine (2026)\War Machine (2026) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\War Machine (2026),2.42,War Machine,2026,tt15940132,War Machine,2026,8.8,113,"Action, Sci-Fi, Thriller",106,KEEP,ok
\\TOWER\rootshare\Movies\Weird The Al Yankovic Story (2022)\Weird The Al Yankovic Story (2022) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Weird The Al Yankovic Story (2022),4.39,Weird The Al Yankovic Story,2022,tt17076046,Weird: The Al Yankovic Story,2022,6.8,46891,"Action, Biography, Comedy",108,REMOVE,rating 6.8 < 7.0
\\TOWER\rootshare\Movies\Wicked Little Letters (2024)\Wicked Little Letters (2024) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Wicked Little Letters (2024),3.96,Wicked Little Letters,2024,,,,,,,,REMOVE,not found
\\TOWER\rootshare\Movies\Willy Wonka & the Chocolate Factory (1971)\Willy Wonka & the Chocolate Factory (1971) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Willy Wonka & the Chocolate Factory (1971),4.0,Willy Wonka & the Chocolate Factory,1971,tt0067992,Willy Wonka & the Chocolate Factory,1971,7.8,242490,"Adventure, Comedy, Family",100,KEEP,ok
\\TOWER\rootshare\Movies\Wonka (2023)\Wonka (2023) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Wonka (2023),3.99,Wonka,2023,tt6166392,Wonka,2023,6.9,188015,"Adventure, Comedy, Family",116,REMOVE,rating 6.9 < 7.0
\\TOWER\rootshare\Movies\Zack Snyder's Justice League (2021)\Zack Snyder's Justice League (2021) WEBDL-1080p.mkv,\\TOWER\rootshare\Movies\Zack Snyder's Justice League (2021),12.11,Zack Snyder's Justice League,2021,tt12361974,Zack Snyder's Justice League,2021,7.9,467870,"Action, Adventure, Fantasy",242,KEEP,ok
\\TOWER\rootshare\Movies\Zero Dark Thirty (2012)\Zero Dark Thirty (2012) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Zero Dark Thirty (2012),5.57,Zero Dark Thirty,2012,tt1790885,Zero Dark Thirty,2012,7.4,337638,"Drama, History, Thriller",157,KEEP,ok
\\TOWER\rootshare\Movies\Zootopia (2016)\Zootopia (2016) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Zootopia (2016),4.61,Zootopia,2016,tt2948356,Zootopia,2016,8.0,619905,"Animation, Action, Adventure",108,KEEP,ok
\\TOWER\rootshare\Movies\Zootopia 2 (2025)\Zootopia 2 (2025) WEBRip-1080p.mkv,\\TOWER\rootshare\Movies\Zootopia 2 (2025),1.8,Zootopia 2,2025,tt26443597,Zootopia 2,2025,7.4,83646,"Animation, Action, Adventure",108,KEEP,ok
\\TOWER\rootshare\Movies\Zulu (1964)\Zulu (1964) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Zulu (1964),2.43,Zulu,1964,tt0058777,Zulu,1964,7.7,45572,"Drama, History, War",138,KEEP,ok
