path,folder_path,size_gb,parsed_title,parsed_year,imdb_id,title,year,imdb_rating,imdb_votes,genre,runtime,verdict,reason
\\TOWER\rootshare\Movies\Star Wars The Rise of Skywalker (2019)\Star Wars The Rise of Skywalker (2019) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Star Wars The Rise of Skywalker (2019),4.56,Star Wars The Rise of Skywalker,2019,tt11464830,Live from the Red Carpet of Star Wars: The Rise of Skywalker,2019,,,,126,REMOVE,no rating/votes
\\TOWER\rootshare\Movies\Superbad (2007)\Superbad (2007) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Superbad (2007),2.4,Superbad,2007,tt0829482,Superbad,2007,7.6,682160,Comedy,113,KEEP,ok
\\TOWER\rootshare\Movies\Superman (1978)\Superman (1978) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Superman (1978),5.36,Superman,1978,tt0078346,Superman,1978,7.4,205928,"Action, Adventure, Sci-Fi",143,KEEP,ok
\\TOWER\rootshare\Movies\Superman Man of Tomorrow (2020)\Superman Man of Tomorrow (2020) WEBRip-720p.mkv,\\TOWER\rootshare\Movies\Superman Man of Tomorrow (2020),1.47,Superman Man of Tomorrow,2020,tt11079116,Superman: Man of Tomorrow,2020,6.4,4920,"Animation, Action, Sci-Fi",86,REMOVE,rating 6.4 < 7.0
\\TOWER\rootshare\Movies\Superman Unbound (2013)\Superman Unbound (2013) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Superman Unbound (2013),1.53,Superman Unbound,2013,tt2617456,Superman: Unbound,2013,6.6,11873,"Animation, Action, Adventure",75,REMOVE,rating 6.6 < 7.0
\\TOWER\rootshare\Movies\Superman vs. The Elite (2012)\Superman vs. The Elite (2012) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Superman vs. The Elite (2012),2.05,Superman vs The Elite,2012,tt2224455,Superman vs. The Elite,2012,7.1,12965,"Animation, Action, Sci-Fi",76,KEEP,ok
\\TOWER\rootshare\Movies\Swiss Army Man (2016)\Swiss Army Man (2016) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Swiss Army Man (2016),3.37,Swiss Army Man,2016,tt4034354,Swiss Army Man,2016,6.9,139037,"Comedy, Drama, Fantasy",97,REMOVE,rating 6.9 < 7.0
\\TOWER\rootshare\Movies\Take Care of Maya (2023)\Take Care of Maya (2023) WEBDL-720p.mkv,\\TOWER\rootshare\Movies\Take Care of Maya (2023),1.64,Take Care of Maya,2023,tt27542448,Take Care of Maya,2023,7.7,11227,Documentary,103,KEEP,ok
\\TOWER\rootshare\Movies\Tangled (2010)\Tangled (2010) Bluray-1080p Proper.mkv,\\TOWER\rootshare\Movies\Tangled (2010),4.34,Tangled,2010,tt0398286,Tangled,2010,7.7,536044,"Animation, Adventure, Comedy",100,KEEP,ok
\\TOWER\rootshare\Movies\Taxi Driver (1976)\Taxi Driver (1976) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Taxi Driver (1976),5.25,Taxi Driver,1976,tt0075314,Taxi Driver,1976,8.2,1008829,"Crime, Drama",114,KEEP,ok
